author,title,journal,date,doi,arxiv
R. Arnold et al (NEMO-3 collaboration) ,Final results onx $^{82}$Se double beta decay to the ground state of ^{82}Kr from the NEMO-3 experiment,Eur. Phys. J. C 78: 821,2018-10-11,10.1140/epjc/s10052-018-6295-x,1806.05553
X.-G. Lu et al (MINERvA collaboration),Measurement of final-state correlations in neutrino muon-proton mesonless production on hydrocarbon at \left{<}E_\nu\right{>}=3 GeV,"Phys. Rev. Lett. 121, 022504",2018-07-11,10.1103/PhysRevLett.121.022504,1805.05486
R. Gran et al (MINERvA collaboration),Anti-neutrino charged-current reactions on scintillator with low momentum transfer,"Phys. Rev. Lett. 120, 221805",2018-06-01,10.1103/PhysRevLett.120.221805,1803.09377
